,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Banda ancha fija,Dial up,Mbps (Media de bajada),Total_conexiones
0,2022,3,Buenos Aires,339648,2748325,1436433,126.846,70.416,4715469,6199,70,4721668
1,2022,3,Capital Federal,140791,1240125,129218,5.758,31.787,1545534,2145,101,1547679
2,2022,3,Catamarca,10010,10495,46224,1.329,2.235,70292,1,61,70293
3,2022,3,Chaco,27164,61800,44645,8.178,2.359,144141,5,53,144146
4,2022,3,Chubut,45377,72212,9574,29.784,8.831,164874,904,16,165778
5,2022,3,Córdoba,163770,465461,338570,61.07,9.797,1038600,68,56,1038668
6,2022,3,Corrientes,36508,77140,18619,7.256,5.323,144842,4,45,144846
7,2022,3,Entre Ríos,60345,132952,36971,26.098,12.593,268937,22,42,268959
8,2022,3,Formosa,14470,25880,11041,16.935,212.0,68537,1,30,68538
9,2022,3,Jujuy,19257,52978,40172,4.033,2.383,118823,0,32,118823
10,2022,3,La Pampa,7796,60078,23551,20.216,4.451,115921,171,18,116092
11,2022,3,La Rioja,6842,53899,19697,6.395,31.0,86860,4,44,86864
12,2022,3,Mendoza,37659,78858,142615,27.625,2.766,288746,777,34,289523
13,2022,3,Misiones,35513,88902,39046,11.074,7.622,182157,0,49,182157
14,2022,3,Neuquén,29352,75815,29396,27.482,1.116,162693,468,48,163161
15,2022,3,Río Negro,35552,48260,41017,16.76,18.969,160010,548,34,160558
16,2022,3,Salta,40006,96984,50254,10.082,7.215,204536,5,41,204541
17,2022,3,San Juan,38570,22723,12328,21.86,7.918,103118,281,16,103399
18,2022,3,San Luis,6860,29363,248,70.614,14.985,121888,182,19,122070
19,2022,3,Santa Cruz,10170,24047,10815,3.896,582.0,49312,198,13,49510
20,2022,3,Santa Fe,183740,426255,215189,43.079,19.547,887700,110,45,887810
21,2022,3,Santiago Del Estero,15385,80937,13170,6.618,2.922,119030,2,18,119032
22,2022,3,Tierra Del Fuego,12754,39963,403,125.0,651.0,53584,312,11,53896
23,2022,3,Tucumán,77738,18518,162345,3.997,519.0,263087,30,53,263117
24,2022,2,Buenos Aires,350652,2719613,1399043,126.847,71.028,4660984,6199,66,4667183
25,2022,2,Capital Federal,145491,1232226,121506,5.757,31.791,1534626,2145,94,1536771
26,2022,2,Catamarca,11928,9430,42087,1.329,2.234,67007,1,57,67008
27,2022,2,Chaco,29552,61284,42194,8.178,2.356,143559,5,51,143564
28,2022,2,Chubut,45377,69242,9574,29.784,8.828,161901,904,15,162805
29,2022,2,Córdoba,179181,467595,308895,61.107,9.657,1026367,68,54,1026435
30,2022,2,Corrientes,38468,75769,18181,7.256,5.323,144993,4,43,144997
31,2022,2,Entre Ríos,63794,131029,35839,26.098,12.592,269330,22,40,269352
32,2022,2,Formosa,15397,25487,9875,16.91,212.0,67881,0,28,67881
33,2022,2,Jujuy,20303,54495,34184,3.955,2.377,115314,0,29,115314
