Provincia,Año,Banda ancha fija,Total de población,Penetracion de banda ancha
Buenos Aires,2022,13925584,17569053,79.26200689359865
Catamarca,2022,199676,429556,46.48427678812541
Chaco,2022,431814,1142963,37.78022560660319
Chubut,2022,497476,603120,82.48375116063139
Corrientes,2022,432409,1197553,36.107712978047736
Córdoba,2022,3068696,3978984,77.12260215170505
Entre Ríos,2022,806171,1426426,56.51684700082584
Formosa,2022,190966,606041,31.510409361742852
Jujuy,2022,350646,797955,43.94307949696412
La Pampa,2022,336837,366022,92.02643556944665
La Rioja,2022,257185,384607,66.86955775635909
Mendoza,2022,841930,2014533,41.79281252776698
Misiones,2022,532478,1280960,41.56866724956283
Neuquén,2022,473401,726590,65.15380063034173
Río Negro,2022,476047,762067,62.46786699857098
Salta,2022,605218,1440672,42.00942338020035
San Juan,2022,291132,818234,35.58053075281643
San Luis,2022,363106,540905,67.12934803708599
Santa Cruz,2022,147197,333473,44.14060508646877
Santa Fe,2022,2636813,3556522,74.14021338824841
Tucumán,2022,763138,1703186,44.806497939743515
